day,x,y,z
353,-1.1250122654738262E13,-1.733692760709697E12,2.8129166451108985E7
354,-1.1281566593010443E13,-1.7385215578162437E12,2.8185374095507346E7
355,-1.1313010523757402E13,-1.7433503537630342E12,2.8241581726474456E7
356,-1.134445444702091E13,-1.7481791485565178E12,2.829778934408784E7
357,-1.1375898362842387E13,-1.7530079422030898E12,2.835399694842435E7
358,-1.1407342271262914E13,-1.7578367347090923E12,2.841020453956017E7
359,-1.143878617232323E13,-1.762665526080815E12,2.846641211757082E7
360,-1.1470230066063742E13,-1.7674943163244956E12,2.852261968253118E7
361,-1.150167395252452E13,-1.7723231054463206E12,2.857882723451548E7
362,-1.1533117831745309E13,-1.7771518934524258E12,2.863503477359731E7
363,-1.156456170376553E13,-1.7819806803488967E12,2.8691242299849637E7
364,-1.1596005568624281E13,-1.7868094661417695E12,2.8747449813344803E7
365,-1.1627449426360346E13,-1.7916382508370308E12,2.8803657314154536E7
366,-1.1635310389687451E13,-1.7928454468402722E12,2.881770918738598E7
